218348,16977,3.393939393939394,4,1,5,4,3,5.0,5.0,5.0,5.0,5.0,5.0,3.5833333333333335,5
482111,16977,3.393939393939394,4,1,5,4,3,3.0,3.0,3.0,3.0,3.0,3.0,3.5833333333333335,3
770495,16977,3.393939393939394,4,1,5,4,3,4.0,4.0,4.0,4.0,4.0,4.0,3.5833333333333335,4
1033930,16977,3.393939393939394,2,1,3,4,4,3,2,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,3.5833333333333335,3
1301848,16977,3.393939393939394,4,1,5,4,3,4.0,4.0,4.0,4.0,4.0,4.0,3.5833333333333335,4
1364718,16977,3.393939393939394,4,1,5,4,3,5.0,5.0,5.0,5.0,5.0,5.0,3.5833333333333335,5
1412167,16977,3.393939393939394,4,1,5,4,3,5.0,5.0,5.0,5.0,5.0,5.0,3.5833333333333335,5
1836156,16977,3.393939393939394,4,1,5,4,3,1.0,1.0,1.0,1.0,1.0,1.0,3.5833333333333335,1
1862783,16977,3.393939393939394,4,1,5,4,3,3.0,3.0,3.0,3.0,3.0,3.0,3.5833333333333335,3
2089903,16977,3.393939393939394,4,1,5,4,3,2.0,2.0,2.0,2.0,2.0,2.0,3.5833333333333335,2
2396494,16977,3.393939393939394,4,1,5,4,3,4.0,4.0,4.0,4.0,4.0,4.0,3.5833333333333335,4
2612624,16977,3.393939393939394,4,1,5,4,3,4.0,4.0,4.0,4.0,4.0,4.0,3.5833333333333335,4
716096,17047,3.393939393939394,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
1995214,17047,3.393939393939394,2,3,2.5,2.5,2.5,2.5,2.5,2.0,2
857132,17177,3.393939393939394,4,2,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,5.0,5
699493,17180,3.393939393939394,3,3,4,3,3,4.0,4.0,4.0,4.0,4.0,4.0,3.3333333333333335,4
931022,17180,3.393939393939394,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.3333333333333335,3
1096715,17180,3.393939393939394,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.3333333333333335,3
1296627,17180,3.393939393939394,4,3,3,4,3,2,2.5,2.5,2.5,2.5,2.5,3.3333333333333335,3
1995214,17180,3.393939393939394,4,3,4,3,3,2,2.5,2.5,2.5,2.5,2.5,3.3333333333333335,3
2572367,17180,3.393939393939394,3,3,4,3,3,4.0,4.0,4.0,4.0,4.0,4.0,3.3333333333333335,4
857132,17363,3.393939393939394,4,2,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,4.0,4
1033488,17437,3.393939393939394,5,4,5.0,5.0,5.0,5.0,5.0,5.0,4.666666666666667,5
1138563,17437,3.393939393939394,5,4,5.0,5.0,5.0,5.0,5.0,5.0,4.666666666666667,5
1167305,17437,3.393939393939394,5,5,3,3.5,3.5,3.5,3.5,3.5,4.666666666666667,4
1033930,17458,3.393939393939394,2,2,3,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.5,3
1296627,17458,3.393939393939394,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2
116563,17603,3.393939393939394,5,4,3,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2.8333333333333335,1
857132,17603,3.393939393939394,1,5,4,3,2,5,4,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,2.8333333333333335,2
1033930,17603,3.393939393939394,4,1,5,3,2,3,3,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.8333333333333335,2
1150774,17603,3.393939393939394,5,4,3,2,2,5.0,5.0,5.0,5.0,5.0,5.0,2.8333333333333335,5
1159919,17603,3.393939393939394,5,4,3,2,2,4.0,4.0,4.0,4.0,4.0,4.0,2.8333333333333335,4
1167305,17603,3.393939393939394,1,4,5,2,2,4,3.5,3.5,3.5,3.5,3.5,2.8333333333333335,3
